Бокс	Рейтинг WBO (средний вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBO
Бокс	Рейтинг WBO (первый средний вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBO
Бокс	Рейтинг WBO (полусредний вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBO
Бокс	Рейтинг WBO (первый полусредний вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBO
Бокс	Рейтинг WBO (легкий вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBO
Бокс	Рейтинг WBO (второй полулегкий вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBO
Бокс	Рейтинг WBO (полулегкий вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBO
Бокс	Рейтинг WBO (второй легчайший вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBO
Бокс	Рейтинг WBO (легчайший вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBO
Бокс	Рейтинг WBO (второй наилегчайший вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBO
Бокс	Рейтинг WBO (наилегчайший вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBO
Бокс	Рейтинг WBO (первый наилегчайший вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBO
Бокс	Рейтинг WBO (минимальный вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBO
Фигурное катание	Рейтинг ISU (мужчины)	http://www.isuresults.com/ws/ws/wsmen.htm
Фигурное катание	Рейтинг ISU (женщины)	http://www.isuresults.com/ws/ws/wsladies.htm
Фигурное катание	Рейтинг ISU (пары)	http://www.isuresults.com/ws/ws/wspairs.htm
Фигурное катание	Рейтинг ISU (танцевальные пары)	http://www.isuresults.com/ws/ws/wsdance.htm
Футбол	Клуб Льва Яшина: рейтинг вратарей по сухим матчам	https://ru.wikipedia.org/wiki/%D0%9A%D0%BB%D1%83%D0%B1_%D0%9B%D1%8C%D0%B2%D0%B0_%D0%AF%D1%88%D0%B8%D0%BD%D0%B0
